# JLPT N4 單字 繁體中文解釋（AI 翻譯，依日文與 tanos 英文解釋）
# 格式：單字<TAB>讀音<TAB>中文。單字和讀音要和 jamsinclair/n4.csv 完全一致；讀音留空代表跟單字一樣。
踏む	ふむ	踩、踏
細かい	こまかい	細小的；詳細的
塗る	ぬる	塗、擦
ご主人	ごしゅじん	（別人的）先生、丈夫
珍しい	めずらしい	稀奇的、少見的
用	よう	事情、要辦的事
公務員	こうむいん	公務員
お嬢さん	おじょうさん	令嬡、小姐
用意	ようい	準備
探す	さがす	找、尋找
形	かたち	形狀
運転	うんてんする	開車、駕駛
すっかり	すっかり	完全
アナウンサー	アナウンサー	播報員、主播
お土産	おみやげ	伴手禮、紀念品
消しゴム	けしゴム	橡皮擦
旅館	りょかん	日式旅館
海岸	かいがん	海岸
寂しい	さびしい	寂寞的
火	ひ	火
育てる	そだてる	養育、培養
味噌	みそ	味噌
お祝い	おいわい	祝賀、慶祝
乗り物	のりもの	交通工具
案内	あんないする	引導、介紹
通う	かよう	往返、通勤、上（學）
連れる	つれる	帶（人、動物）
技術	ぎじゅつ	技術
小鳥	ことり	小鳥
下宿	げしゅく	寄宿、租屋
ジャム	ジャム	果醬
招待	しょうたいする	邀請、招待
鏡	かがみ	鏡子
はず	はず	應該
法律	ほうりつ	法律
進む	すすむ	前進
楽む	たのしむ	享受、期待
貿易	ぼうえき	貿易
反対	はんたい	反對
おる	おる	在（「いる」的謙讓語）
申す	もうす	說、叫做（「言う」的謙讓語）
試験	しけん	考試
真面目	まじめ	認真的
ごらんになる		看（「見る」的尊敬語）
店員	てんいん	店員
泊まる	とまる	住宿、過夜
よろしい	よろしい	好、可以（禮貌說法）
今夜	こんや	今晚
おつり	おつり	找的零錢
チェックする	チェックする	檢查、確認
会話	かいわ	會話、對話
空気	くうき	空氣；氣氛
交通	こうつう	交通
ワープロ	ワープロ	文書處理機
喜ぶ	よろこぶ	高興、開心
急行	きゅうこう	快車
皆	みな	大家
味	あじ	味道
空港	くうこう	機場
手袋	てぶくろ	手套
校長	こうちょう	校長
ごちそう	ごちそう	大餐；請客
踊り	おどり	舞蹈
興味	きょうみ	興趣
引っ越す	ひっこす	搬家
冷房	れいぼう	冷氣
都合	つごう	方便與否、情況
遠慮	えんりょする	客氣、顧慮
亡くなる	なくなる	過世
科学	かがく	科學
はっきり	はっきり	清楚地
差し上げる	さしあげる	給（「あげる」的謙讓語）
気持ち	きもち	心情、感覺
祖父	そふ	祖父、外公
港	みなと	港口
予約	よやく	預約
凄い	すごい	厲害的、驚人的
入学	にゅうがくする	入學
片付ける	かたづける	整理、收拾
写す	うつす	抄寫；拍照
パソコン	パソコン	個人電腦
部長	ぶちょう	部長、經理
火事	かじ	火災
足す	たす	加
教会	きょうかい	教會
彼ら	かれら	他們
一杯	いっぱい	滿滿的；一杯
アメリカ	アメリカ	美國
男性	だんせい	男性
理由	りゆう	理由
生産	せいさんする	生產
着物	きもの	和服
おもちゃ	おもちゃ	玩具
暮れる	くれる	天黑；（年、季節）將盡
釣る	つる	釣（魚）
～ちゃん	～ちゃん	小～（親暱稱呼）
打つ	うつ	打、敲
あんな	あんな	那樣的
謝る	あやまる	道歉
昼間	ひるま	白天
教育	きょういく	教育
女性	じょせい	女性
米	こめ	米（生米）
邪魔	じゃま	打擾、妨礙
国際	こくさい	國際
隅	すみ	角落
伺う	うかがう	拜訪、請教（謙讓語）
再来週	さらいしゅう	下下週
夢	ゆめ	夢
喉	のど	喉嚨
最近	さいきん	最近
周り	まわり	周圍
歴史	れきし	歷史
不便	ふべん	不方便
血	ち	血
～続ける	～つづける	繼續～
毛	け	毛、頭髮
ひどい	ひどい	過分的、糟糕的
例えば	たとえば	例如
中々	なかなか	相當；（不）容易
随分	ずいぶん	相當、非常
～やすい	～やすい	容易～
押し入れ	おしいれ	壁櫥
電灯	でんとう	電燈
叱る	しかる	責罵
サンダル	サンダル	涼鞋
びっくりする	びっくりする	嚇一跳
うまい	うまい	好吃的；高明的
変える	かえる	改變（他動詞）
講堂	こうどう	禮堂
子	こ	孩子
沸かす	わかす	燒開（水）
レジ	レジ	收銀台
しばらく	しばらく	一會兒；好久
特に	とくに	特別
空く	あく	空出來、空著
計画	けいかくする	計畫
通り	とおり	街道；～路
下着	したぎ	內衣
経済	けいざい	經濟
こう	こう	這樣
是非	ぜひ	務必、一定
裏	うら	背面、後面
為	ため	為了；因為
おいでになる	おいでになる	「去、來、在」的尊敬語
変わる	かわる	改變（自動詞）
以外	いがい	以外、除了
済む	すむ	結束、解決
ハンバーグ	ハンバーグ	漢堡排
市	し	市
引き出し	ひきだし	抽屜
遊び	あそび	遊玩、遊戲
支度	したくする	準備
～始める	～はじめる	開始～
見える	みえる	看得見；「來」的尊敬語
十分	じゅうぶん	充分、足夠
音	おと	聲音（物體）
きっと	きっと	一定
まず	まず	首先
遠く	とおく	遠處
大体	だいたい	大概；大致上
折れる	おれる	折斷；轉彎
正しい	ただしい	正確的
輸入	ゆにゅう	進口
返事	へんじ	回覆、回答
都	と	都（行政區，如東京都）
産業	さんぎょう	產業
伝える	つたえる	傳達、轉告
お金持ち	かねもち; おかねもち	有錢人
説明	せつめい	說明
島	しま	島
道具	どうぐ	工具
滑る	すべる	滑、滑倒
それほど	それほど	那麼、那種程度
以上	いじょう	以上
～まま	～まま	保持～的狀態
特急	とっきゅう	特快車
プレゼント	プレゼント	禮物
～(に) よると	～(に) よると	根據～
妻	つま	（我的）妻子
帰り	かえり	回來、歸途
具合	ぐあい	狀況；身體狀況
堅; 硬; 固い	かたい	硬的、堅固的
駐車場	ちゅうしゃじょう	停車場
スーツ	スーツ	套裝、西裝
危険	きけん	危險
髪	かみ	頭髮
天気予報	てんきよほう	天氣預報
彼女	かのじょ	她；女朋友
間	あいだ	之間；期間
卒業	そつぎょう	畢業
それで	それで	所以、因此
枝	えだ	樹枝
専門	せんもん	專業、主修
そろそろ	そろそろ	差不多該～了；漸漸
送る	おくる	寄送；送（人）
あげる	あげる	給（別人）
騒ぐ	さわぐ	吵鬧
尋ねる	たずねる	詢問
放送	ほうそうする	廣播、播放
政治	せいじ	政治
市民	しみん	市民
ファックス	ファックス	傳真
負ける	まける	輸
指輪	ゆびわ	戒指
田舎	いなか	鄉下
見つける	みつける	找到、發現
高校生	こうこうせい	高中生
講義	こうぎ	講課
そんなに	そんなに	那麼地
昼休み	ひるやすみ	午休
忘れ物	わすれもの	遺失物、忘記帶的東西
下りる	おりる	下來、下去
腕	うで	手臂；本領
訳	わけ	理由；意思
承知	しょうちする	知道、同意
日記	にっき	日記
高校; 高等学校	こうこう; こうとうがっこう	高中
似る	にる	像、相似
～おわる	～おわる	～完
暖房	だんぼう	暖氣
留守	るす	不在家
割合	わりあい	比例、比率
寺	てら	寺廟
慣れる	なれる	習慣
普通	ふつう	普通、通常
手伝う	てつだう	幫忙
なるほど	なるほど	原來如此
くださる	くださる	給我（「くれる」的尊敬語）
息子	むすこ	（我的）兒子
お子さん	おこさん	令郎、令嬡
会場	かいじょう	會場
笑う	わらう	笑
運ぶ	はこぶ	搬運
文学	ぶんがく	文學
光	ひかり	光
お見舞い	おみまい	探病
席	せき	座位
～様	～さま	～先生、～女士（敬稱）
ご存じ	ごぞんじ	知道（尊敬語）
下る	さがる	下降
字	じ	字
アジア	アジア	亞洲
褒める	ほめる	稱讚
空く	すく	（人少）空、不擁擠
あ	あ	啊
最も	もっとも	最
合う	あう	合適、相符
～代	～だい	～年代；～費用
最後	さいご	最後
値段	ねだん	價格
退院	たいいんする	出院
展覧会	てんらんかい	展覽會
久しぶり	ひさしぶり	好久不見、隔了很久
カーテン	カーテン	窗簾
汽車	きしゃ	火車（蒸汽火車）
遅れる	おくれる	遲到、晚了
見つかる	みつかる	被找到
召し上がる	めしあがる	吃、喝（尊敬語）
太る	ふとる	變胖
注射	ちゅうしゃ	打針
様	よう	樣子、方式
～おき	～おき	每隔～
最初	さいしょ	最初、第一個
御～	ご～	（加在字前表示尊敬或禮貌）
安心	あんしん	安心
直る	なおる	修好
集める	あつめる	收集
直す	なおす	修理；改正
続く	つづく	持續、繼續（自動詞）
先輩	せんぱい	前輩、學長姊
約束	やくそく	約定
世話	せわする	照顧
近所	きんじょ	附近、鄰居
将来	しょうらい	將來
億	おく	億
数学	すうがく	數學
文化	ぶんか	文化
払う	はらう	付錢
習慣	しゅうかん	習慣
焼ける	やける	燒起來；烤好
君	きみ	你（男性對平輩或晚輩）
冷える	ひえる	變冷、變涼
点く	つく	（燈）亮、打開
この間	このあいだ	前幾天
格好	かっこう	外表、打扮
かまう		在意、介意
続ける	つづける	繼續（他動詞）
落す	おとす	弄掉；遺失
明日	あす	明天
出発	しゅっぱつする	出發
拝見	はいけんする	拜讀、看（謙讓語）
割れる	われる	破裂、碎掉
背中	せなか	背部
新聞社	しんぶんしゃ	報社
いじめる	いじめる	欺負
回る、回す	まわる、まわす	轉動、繞行
～君	～くん	～君（稱呼男性晚輩）
おっしゃる	おっしゃる	說（「言う」的尊敬語）
眠い	ねむい	想睡的
濡れる	ぬれる	淋濕
倒れる	たおれる	倒下
スーパー (マーケット)	スーパー (マーケット)	超市
アクセサリー	アクセサリー	飾品
考える	かんがえる	思考、考慮
向かう	むかう	朝向、前往
自由	じゆう	自由
仕方	しかた	方法、做法
首	くび	脖子
程	ほど	程度
代わり	かわり	代替
失敗	しっぱい	失敗
工業	こうぎょう	工業
移る	うつる	遷移、轉移
スーツケース	スーツケース	行李箱
ひげ	ひげ	鬍子
研究室	けんきゅうしつ	研究室
工場	こうじょう	工廠
紹介	しょうかい	介紹
けれど; けれども	けれど; けれども	但是、雖然
舟	ふね	船
動く	うごく	動
～(に) ついて	～(に) ついて	關於～
コンサート	コンサート	演唱會、音樂會
虫	むし	蟲
優しい	やさしい	溫柔的、親切的
コンピュータ; コンピューター	コンピュータ; コンピューター	電腦
植える	うえる	種植
両方	りょうほう	雙方、兩者
汚れる	よごれる	弄髒
水泳	すいえい	游泳
経験	けいけんする	經驗
勝つ	かつ	贏
砂	すな	沙子
警察	けいさつ	警察；警察局
取り替える	とりかえる	交換、更換
急ぐ	いそぐ	趕快、急忙
簡単	かんたん	簡單
参る	まいる	去、來（謙讓語）
全然	ぜんぜん	完全（不）
特別	とくべつ	特別
復習	ふくしゅう	複習
間に合う	まにあう	來得及
役に立つ	やくにたつ	有用、有幫助
もうすぐ	もうすぐ	馬上、快要
真中	まんなか	正中間
戻る	もどる	回到、返回
研究	けんきゅう	研究
ケーキ	ケーキ	蛋糕
草	くさ	草
込む	こむ	擁擠
この頃	このごろ	最近、這陣子
訪ねる	たずねる	拜訪
下げる	さげる	降低；掛
花見	はなみ	賞花
途中	とちゅう	途中、半路
入院	にゅういんする	住院
乗り換える	のりかえる	轉乘
別れる	わかれる	分開、分手
～町	～ちょう	～町
安全	あんぜん	安全
看護婦	かんごふ	護士
見物	けんぶつ	參觀、觀光
相談	そうだんする	商量、諮詢
ガソリンスタンド	ガソリンスタンド	加油站
テニス	テニス	網球
眠る	ねむる	睡覺
上がる	あがる	上升、上去
翻訳	ほんやく	翻譯
食事	しょくじする	用餐
お陰	おかげ	託～的福
娘	むすめ	（我的）女兒
湯	ゆ	熱水
競争	きょうそう	競爭
会議	かいぎ	會議
湖	みずうみ	湖
集まる	あつまる	聚集
～にくい	～にくい	不容易～、難以～
生活	せいかつする	生活
糸	いと	線
関係	かんけい	關係
ピアノ	ピアノ	鋼琴
～目	～め	第～
番組	ばんぐみ	節目
急	きゅう	突然；緊急；陡峭
棚	たな	架子
木綿	もめん	棉
輸出	ゆしゅつする	出口
タイプ	タイプ	類型
すり	すり	扒手
嬉しい	うれしい	高興的
アルコール	アルコール	酒精
ソフト	ソフト	柔軟的；軟體
神社	じんじゃ	神社
大分	だいぶ	相當、很
楽しみ	たのしみ	期待；樂趣
趣味	しゅみ	興趣、嗜好
電報	でんぽう	電報
家内	かない	（我的）妻子
指	ゆび	手指
これから	これから	從現在起
たまに	たまに	偶爾
社会	しゃかい	社會
